,temperature,humidity,windSpeed,datetime,date,time
0,-1.3,89.5,,2023-01-23 01:00:00+00:00,2023-01-23,01:00:00
1,-1.5,90.0,,2023-01-23 02:00:00+00:00,2023-01-23,02:00:00
2,-1.8,90.0,,2023-01-23 03:00:00+00:00,2023-01-23,03:00:00
3,-2.2,90.7,,2023-01-23 04:00:00+00:00,2023-01-23,04:00:00
4,-2.3,91.0,,2023-01-23 05:00:00+00:00,2023-01-23,05:00:00
5,-2.2,91.0,,2023-01-23 06:00:00+00:00,2023-01-23,06:00:00
6,-2.7,91.0,,2023-01-23 07:00:00+00:00,2023-01-23,07:00:00
7,-2.3,91.8,,2023-01-23 08:00:00+00:00,2023-01-23,08:00:00
8,-1.8,91.0,,2023-01-23 09:00:00+00:00,2023-01-23,09:00:00
9,-2.1,90.8,,2023-01-23 10:00:00+00:00,2023-01-23,10:00:00
10,-0.7000000000000001,90.2,,2023-01-23 11:00:00+00:00,2023-01-23,11:00:00
11,1.2,88.6,,2023-01-23 12:00:00+00:00,2023-01-23,12:00:00
12,2.0,85.5,,2023-01-23 13:00:00+00:00,2023-01-23,13:00:00
13,3.0,82.0,,2023-01-23 14:00:00+00:00,2023-01-23,14:00:00
14,3.3,80.7,,2023-01-23 15:00:00+00:00,2023-01-23,15:00:00
15,3.3,81.0,,2023-01-23 16:00:00+00:00,2023-01-23,16:00:00
16,3.3,82.0,,2023-01-23 17:00:00+00:00,2023-01-23,17:00:00
17,3.3,82.4,,2023-01-23 18:00:00+00:00,2023-01-23,18:00:00
18,3.3,83.0,,2023-01-23 19:00:00+00:00,2023-01-23,19:00:00
19,3.3,83.2,,2023-01-23 20:00:00+00:00,2023-01-23,20:00:00
20,3.3,84.0,,2023-01-23 21:00:00+00:00,2023-01-23,21:00:00
21,3.2,84.0,,2023-01-23 22:00:00+00:00,2023-01-23,22:00:00
22,3.3,84.0,,2023-01-23 23:00:00+00:00,2023-01-23,23:00:00
23,3.3,84.2,,2023-01-24 00:00:00+00:00,2023-01-24,00:00:00
24,3.4,84.0,,2023-01-24 01:00:00+00:00,2023-01-24,01:00:00
25,3.8,84.0,,2023-01-24 02:00:00+00:00,2023-01-24,02:00:00
26,3.3,84.2,,2023-01-24 03:00:00+00:00,2023-01-24,03:00:00
27,3.3,85.0,,2023-01-24 04:00:00+00:00,2023-01-24,04:00:00
28,3.3,85.0,,2023-01-24 05:00:00+00:00,2023-01-24,05:00:00
29,3.3,85.0,,2023-01-24 06:00:00+00:00,2023-01-24,06:00:00
30,3.3,84.0,,2023-01-24 07:00:00+00:00,2023-01-24,07:00:00
31,3.3,83.0,,2023-01-24 08:00:00+00:00,2023-01-24,08:00:00
32,3.3,83.0,,2023-01-24 09:00:00+00:00,2023-01-24,09:00:00
33,3.2,83.0,,2023-01-24 10:00:00+00:00,2023-01-24,10:00:00
